blueKills,redKills,blueAssists,redAssists,blueGold,redGold,gameDuration,OUTCOME
24,11,26,9,49575,34099,1369,1
12,17,15,30,36492,44522,1391,0
13,34,27,59,37648,51862,1417,0
33,28,61,49,62059,54577,1712,1
30,32,53,43,61520,71473,1969,0
31,35,61,40,64658,61038,1882,1
32,11,51,17,54352,38621,1377,1
26,8,35,9,44217,29420,1133,1
44,54,84,78,73023,72091,2033,0
14,30,19,38,51138,62525,1764,0
30,11,34,16,52921,38383,1496,1
34,14,56,14,55680,45727,1661,1
19,33,32,64,54683,59083,1694,0
31,28,35,42,57054,56552,1706,0
40,25,55,38,73561,67530,2191,1
35,20,39,28,52252,47902,1454,1
30,6,38,5,39828,22439,935,1
35,23,71,27,58162,51144,1740,1
17,45,29,77,55795,63822,1745,0
24,36,33,37,57353,66745,1974,0
19,30,39,60,43602,53005,1569,0
29,14,47,14,46158,37417,1366,1
26,14,75,32,54183,48914,1758,1
17,23,34,38,48701,58788,1706,0
30,20,48,39,58851,53207,1789,1
6,18,8,18,24740,40219,1062,0
26,9,38,17,56702,38902,1567,1
15,25,24,47,43826,50544,1600,0
18,14,25,15,46204,37466,1436,1
40,22,69,30,67438,55390,1798,1
26,30,42,56,56668,60408,1783,0
15,33,19,67,47983,58018,1677,0
34,45,61,105,85920,93304,2687,0
30,31,53,34,62770,61234,1854,1
26,10,47,13,45950,37105,1350,1
9,32,7,39,32279,43209,1168,0
38,29,67,46,75294,68749,2195,1
24,38,35,59,46830,57191,1571,0
26,15,25,25,49788,42598,1421,1
43,14,74,18,62916,45558,1676,1
38,15,71,29,53788,39230,1435,1
25,11,44,20,54556,51727,1808,1
28,14,47,15,54415,47816,1660,1
31,39,30,66,68447,74162,2068,0
40,34,49,65,66134,62908,1874,1
32,7,34,6,49795,32283,1356,1
26,16,29,20,54387,42324,1561,1
10,22,14,34,38284,48488,1425,0
32,11,50,16,53542,38597,1417,1
33,21,52,16,53289,40040,1365,1
