matchNum,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,gameLength,outcome,numPlayers,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills
1,NA1_4257781959,-10,-20,-7963,1891,0,10,-1.0,-16592,-1
2,NA1_4257745843,15,18,10820,1892,1,10,1.6,16445,3
3,NA1_4257024253,15,33,3728,2224,1,10,0.4,12550,1
4,NA1_4257001408,20,-1,14664,1812,1,10,1.4,14333,0
5,NA1_4255310442,-13,-15,-6479,1677,0,10,-1.2,-11752,-4
6,NA1_4255270198,-15,-22,-15001,1395,0,10,-1.8,-20695,-3
7,NA1_4255237234,21,53,9413,1516,1,10,1.8,4219,2
8,NA1_4254938844,1,4,4103,1863,1,10,0.4,8802,-1
9,NA1_4254933736,18,-1,17213,1792,1,10,1.2,11087,2
10,NA1_4254884299,-19,-12,-17261,1677,0,10,-1.2,-23155,-1
11,NA1_4254788686,-21,-22,-9524,1664,0,10,-2.0,-11011,-4
12,NA1_4254705864,-21,-36,-12731,1637,0,10,-1.8,-14060,1
13,NA1_4254710051,-18,-10,-16309,1564,0,10,-2.4,-23184,-2
14,NA1_4254671430,-9,-28,-8888,2079,0,10,-1.8,-10010,3
15,NA1_4253908965,11,27,11547,1442,1,10,1.6,30206,1
16,NA1_4253896504,16,29,15047,1465,1,10,1.8,23643,1
17,NA1_4253839734,-11,-11,-8034,1883,0,10,-0.6,-23597,-1
18,NA1_4253833689,-10,-35,-8035,2035,0,10,-1.0,-8724,-1
19,NA1_4252542641,-11,-10,-10627,1662,0,10,-1.2,-23975,0
20,NA1_4252507879,3,26,7097,1571,1,10,1.0,15788,-1
21,NA1_4252227477,-16,-14,-11668,1651,0,10,-0.6,-16774,-4
22,NA1_4252271433,-15,-14,-9527,1619,0,10,-1.4,-15707,-4
23,NA1_4252220890,-23,-30,-10658,1602,0,10,-1.6,-12503,-4
24,NA1_4252167991,19,7,14229,1168,1,10,2.0,21040,1
25,NA1_4252200910,24,32,20074,1859,1,10,2.2,16470,0
26,NA1_4252050042,-1,-17,-3595,1841,0,10,-0.4,-8835,-1
27,NA1_4251691855,-19,-19,-14955,1038,0,10,-2.6,-23670,-2
28,NA1_4251586103,-26,-50,-16321,2235,0,10,-1.0,-16619,-3
29,NA1_4251543701,21,26,13100,1952,1,10,1.8,7581,3
30,NA1_4251479337,-8,-19,-3330,1795,0,10,-0.4,-10916,0
31,NA1_4251316545,-13,-15,-7845,1532,0,10,-1.6,-18767,-4
32,NA1_4250908773,6,15,10909,1422,1,10,1.2,19520,1
33,NA1_4250912875,10,12,3182,1212,1,10,0.4,4939,1
34,NA1_4250846303,2,-2,-3596,2135,0,10,-0.4,-18086,0
35,NA1_4250516483,-18,-23,-13041,965,0,10,-2.0,-15484,-2
36,NA1_4250497020,4,-8,6849,1804,1,10,0.8,18821,4
37,NA1_4250465968,10,14,7174,1445,1,10,0.8,16505,1
38,NA1_4250462228,-9,-2,-16006,1847,0,10,-1.0,-17383,-4
39,NA1_4250399092,1,-3,2761,1775,1,10,-0.2,8668,3
40,NA1_4250399801,-15,-18,-10121,1496,0,10,-1.6,-13332,-2
41,NA1_4250346726,-2,4,-5956,1586,0,10,-1.0,-11962,-4
42,NA1_4250051661,-15,-38,-8099,1957,0,10,-1.4,-7328,0
43,NA1_4250005074,23,32,11364,1774,1,10,2.4,-13832,-2
44,NA1_4249832129,7,2,10817,1606,1,10,1.4,19224,4
45,NA1_4249749414,-21,-32,-15473,1404,0,10,-2.2,-24662,-4
46,NA1_4249764004,19,32,10712,1404,1,10,1.0,17083,1
47,NA1_4249571063,30,29,18772,1476,1,10,2.2,17528,3
48,NA1_4249528321,-17,-20,-11183,1186,0,10,-1.4,-17645,0
49,NA1_4249516057,16,25,6454,1926,1,10,1.2,12549,-1
50,NA1_4249320757,10,21,14519,1383,1,10,2.0,22740,3
