blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
-12,-14,-7815,-1.4,-9740,-3,1665,10,0
-9,-18,-13018,-1.2,-19051,-2,966,10,0
-17,-19,-13404,-1.4,-21357,-4,1381,10,0
-14,-50,-12370,-1.8,-5666,3,2013,10,0
-16,-11,-10688,-1.2,-11311,-2,920,10,0
-18,-12,-13194,-1.8,-20974,-2,1176,10,0
18,39,11172,1.2,11532,2,911,10,1
1,-2,-414,-0.4,-834,0,194,10,0
11,10,7227,1.6,1219,-1,873,10,1
-18,-24,-13638,-1.8,-17310,-1,1214,10,0
-13,-18,-7565,-0.6,-8466,-1,999,10,0
-12,-9,-8006,-1,-6150,1,915,10,0
-14,-39,-12075,-1.6,-13270,-3,1323,10,0
-11,-8,-11574,-1,-17756,-4,1573,10,0
14,23,3124,1.4,6187,2,1949,10,1
18,54,9595,1.4,18873,0,1824,10,1
-9,-22,-10126,-1,-6420,-1,934,10,0
19,45,2947,0.2,9043,-1,2012,10,1
10,20,8895,1.4,28143,0,1654,10,1
-10,-20,-9388,-1.8,-12544,-3,1543,10,0
16,13,13910,1,11764,4,1720,10,1
-20,-12,-17632,-2.2,-21729,-1,1371,10,0
19,24,12479,1.2,11438,1,1185,10,1
-10,-17,-7682,-1.2,-13553,-1,1525,10,0
12,26,10858,1.4,10148,-3,1386,10,1
-10,-11,-11387,-1.8,758,-1,1985,10,0
0,0,93,-0.2,192,0,192,10,1
14,11,10885,1.4,20201,1,1207,10,1
-12,-7,-11558,-2,-22445,-1,868,10,0
17,9,12040,1.4,9122,-1,1877,10,1
0,-1,-2346,-0.2,-2935,2,1975,10,0
14,3,14429,1.2,24129,2,1092,10,1
-23,-35,-11357,-1,8158,-2,2446,10,0
11,14,8754,1.4,19680,3,1443,10,1
4,4,7768,0.6,17458,0,1690,10,1
-24,-49,-13697,-1.8,-13358,-1,1402,10,0
