matchNum,blueKills,redKills,blueAssists,redAssists,BlueGold,redGold,gameLength,OUTCOME
1,36,16,38,19,55428,43865,1441,1
2,22,29,28,34,46848,52751,1596,0
3,13,41,17,67,45989,61909,1742,0
4,14,5,14,6,30365,25610,1005,1
5,42,35,64,47,63560,57292,1686,1
6,18,6,32,5,33577,23413,943,1
7,7,26,8,43,37152,51840,1418,0
8,29,16,70,25,63009,56143,1958,1
9,23,35,27,52,44411,53779,1446,0
10,37,34,49,53,54271,59565,1648,0
11,39,39,68,80,71551,76918,2382,0
12,22,34,30,56,48450,58037,1636,0
13,17,26,19,31,37524,44296,1267,0
14,40,16,67,19,60229,47413,1682,1
15,26,35,38,47,51081,58652,1716,0
16,38,9,49,11,51147,35978,1384,1
17,28,22,47,21,59647,51261,1749,1
18,19,37,19,59,45085,56239,1672,0
19,27,15,46,16,57296,45521,1646,1
20,34,18,46,25,57194,42197,1476,1
21,20,7,42,9,46934,35984,1419,1
22,25,34,32,67,60345,64358,2009,0
23,38,16,58,27,58685,41324,1495,1
24,22,39,30,66,61389,69082,1928,0
25,23,10,28,10,38117,29843,1061,1
26,14,36,12,46,39469,52633,1466,0
27,42,31,62,45,78136,74265,2364,1
28,34,21,62,24,63763,49581,1829,1
29,31,28,42,46,64860,68388,2027,0
30,22,31,41,45,43290,53154,1448,0
31,22,37,29,54,54111,63303,1723,0
32,34,30,51,36,64794,63220,1833,1
33,36,22,47,29,58161,45374,1485,1
34,29,30,48,59,59462,63379,1842,0
35,28,13,41,15,54040,38776,1473,1
36,32,29,43,68,74864,65837,2360,1
37,26,13,49,24,53100,47864,1685,1
38,35,35,50,61,55087,64899,1760,0
39,22,45,35,71,59017,70735,1995,0
40,16,33,24,43,52329,63211,1818,0
41,14,25,17,29,41140,53019,1449,0
42,8,9,9,10,21296,23983,790,0
43,11,21,23,42,36431,44772,1437,0
44,1,3,1,1,4327,4884,231,0
45,2,4,2,4,6202,6955,334,0
46,0,1,0,0,719,1049,141,0
47,40,25,74,39,69362,60037,1867,1
48,46,30,87,55,63447,48124,1598,1
49,13,25,21,31,52839,65207,1862,0
50,19,24,27,49,46675,52385,1618,0
